,,,,,,,,,
,Fases,DESCRIPCIÓN,UN.,"P.U.
[Bs]",CANT,,COMBOS,,
,4,INSTALACION ELECTRICA (TELÉFONO) - CON CABLE,pto, 9.72 , 0.08 ,,,,
,4,INSTALACION ELECTRICA (TELEVISIÓN) - SIN CABLE,pto, 5.96 , 0.24 ,,,,
,4,INSTALACION ELECTRICA (DUCHA),pto, 11.52 , 0.16 ,,,,
,4,REVOQUE INTERIOR CON ESTUCO,M2, 3.69 , 13.41 ,,,,
,4,REVOQUE EXTERIOR PIRULEADO,m², 25.31 , 8.96 ,,,,
,4,CARPETA  DE  HORMIGON  SIMPLE   E=8 CM DOSIF. 1:2:3 C/EMPEDRADO,m², 6.01 , 1.28 ,,,,
,,,,,,,,,
,Presupuesto IV,,,, 399 ,, 399.42 ,,
,,,,,,,,,
,Presupuesto FINAL,,,," 95,642 ",," 95,839 ",,
